Order ID,Order Date,Customer Name,Region,Product,Category,Sales,Quantity,Discount,Profit
sm-7039-405828,2024-07-23,William Bryant,Central,Table,Furniture,1217.8,10,0.08,-81.68
Pt-2985-825301,2022-10-20,Benjamin Bentley,East,Laptop,Technology,1852.04,9,0.45,-88.34
KJ-4575-679683,2021-03-15,Charles Webb,West,Printer,Technology,632.41,9,0.03,83.61
Pc-5914-111200,2022-05-23,Denise Morris,East,Paper,Office Supplies,,3,0.42,0.0
Qp-3590-968551,2024-10-17,Stephen Andrews,East,Laptop,Technology,1678.02,8,,-77.77
Mb-5047-103221,2021-09-14,Paul Daniel,South,Desk,Furniture,1179.22,4,0.27,-63.43
or-5546-744716,2024-08-18,Christopher Bennett,East,Laptop,Technology,387.91,10,0.46,-46.8
yE-2444-421467,2023-09-12,Amber Ortiz,West,Phone,Technology,811.77,4,0.45,207.51
Ms-4533-762416,2024-01-21,Michael Chavez,East,Desk,Furniture,1571.2,6,0.24,167.92
zn-2477-446843,2021-11-20,Jesse Wells,Central,Paper,Office Supplies,988.54,1,0.16,-276.53
EG-8797-759295,2022-08-28,Daniel Bishop,West,Paper,Office Supplies,130.32,9,0.2,40.02
hL-8851-729871,2023-02-25,Stephanie Brown,South,Stapler,Office Supplies,1320.23,6,,-296.84
yl-0736-592368,2025-01-25,Lisa Mendez,Central,Pen,Office Supplies,1814.85,3,,899.5
Vq-6783-071217,2024-02-19,Meagan Ellis,Central,Desk,Furniture,347.8,6,0.4,0.14
Nw-1392-761807,2021-07-27,Elizabeth Harris,Central,Paper,Office Supplies,894.56,6,,419.46
am-3704-775628,2020-05-03,Mr. Patrick Kennedy,South,Monitor,Technology,,5,0.17,0.0
VX-5177-724741,2020-06-15,Brittney Garcia,South,Table,Furniture,1615.37,8,0.2,677.34
DA-2876-820041,2024-04-23,Justin Davis,Central,Monitor,Technology,733.48,7,0.25,260.42
dG-9706-514442,2023-06-02,Jack Rose,South,Stapler,Office Supplies,93.11,10,0.45,7.88
eq-3236-874988,2024-04-05,Erin Davis,East,Pen,Office Supplies,1912.0,7,,-151.54
Tb-7202-813951,2023-02-23,Caitlyn Barnes,Central,Paper,Office Supplies,1872.24,6,0.44,927.56
